locale|ru_RU
SYSTEM_CARGO_MOD_AMORPH5_DESC|Комплект для трюма от Titan Heavy Industries MD-5 хорошо известен среди инженеров судостроительных верфей своими складывающимися в форме гармошки внутренними объёмами. Опыт предыдущих реализаций был усвоен, и в результате оборудование занимает гораздо меньше места в трюме, но компактные линейные приводы и прецизионная сборка приводят к высоким первоначальным затратам.

SYSTEM_CARGO_MOD_AMORPH5_SPECS|Режим преобразования: Раздельный в Динамический\nКоэффициент преобразования: 3:2 (снижение на 33%)\nМасса: 2500 кг\nМасса механизма: 75 кг на тонну потерянного обрабатываемого пространства\nПроизводитель: Titan Heavy Industries



SYSTEM_CARGO_MOD_AMORPH6|NDSBH

SYSTEM_CARGO_MOD_AMORPH6_DESC|Комплект Soft Body Hold от Nakamura Dynamics — это комплекс для преобразования из раздельного в динамический, который позволяет заменить стандартные перегородки простой, но эффективной системой вращающихся перегородок, изготавливаемой по индивидуальному заказу в соответствии с характеристиками судна. Сжатый воздух создает амортизацию без трения при движении перегородок, а управляющий компьютер управляет и прогнозирует будущие изменения геометрии, напрямую взаимодействуя с процессором грузового отсека и системой микросейсмической визуализации.

SYSTEM_CARGO_MOD_AMORPH6_SPECS|Режим преобразования: Раздельный в Динамический \nКоэффициент преобразования: 6:5 (снижение на 17%) \nМасса: 3750 кг \nМасса механизма: 165 кг на тонну потерянного обрабатываемого пространства \nПроизводитель: Nakamura Dynamics


SYSTEM_CARGO_MOD_AMORPH_MANUAL|Для правильного использования требуется УПМ. \nПреобразует объём хранилища минералов в Динамический. \nУвеличивает или уменьшает общий объём хранилища в зависимости от коэффициента преобразования. Процент указан в спецификации. \nНе требует электроэнергии или тепла реактора.




 
HUD_HOLD_CAP|total hold capacity

HUD_HOLD_FILL|hold fill level



SYSTEM_AUTOPILOT_337MOD|Автопилот MA-337-MAX

SYSTEM_AUTOPILOT_337MOD_DESC|MAX — это программное обновление автопилота MA-337, которое интегрирует входные векторы электродистанционного управления в нейронную сеть.

SYSTEM_AUTOPILOT_337MOD_SPECS|Разработчик: Mitsudaya-Starbus \nВозможности: Контр-поворотный регулятор \nАдаптивная угловая тяга \nЭлектродистанционная система управления \nЛИДАР-оверлей

SYSTEM_AUTOPILOT_337MOD_MANUAL|Отображает окружность ЛИДАРа вокруг вашего корабля. \nКПР: отключает противоположные движетели, экономя рабочее тело. \nЭДСУ: Перенаправляет любые ручные маневры через автопилот. \nЭффективно использует двигатели с изменяемым вектором тяги. \nАУТ: Наблюдает за смещением массы груза и повреждениями двигателей для вычисления минимальной тяги, необходимой для маневра. \nПерезагрузите бортовой компьютер, чтобы очистить данные адаптации.



IOE_CONFIG_VERBOSE_LOGGING|Подробное логирование

IOE_CONFIG_VERBOSE_LOGGING_TOOLTIP|Создавать ли дополнительные логи при загрузке мода

IOE_CONFIG_OPTIONS|Параметры

IOE_CONFIG_INPUTS|Привязки

IOE_CONFIG_SHIP_SLOT_9|Toggle hardpoint 9
IOE_CONFIG_SHIP_SLOT_MINUS|Toggle hardpoint 10
IOE_CONFIG_SHIP_SLOT_EQUAL|Toggle hardpoint 11
IOE_CONFIG_SHIP_SLOT_9_TOOLTIP|Keybind used for the 9th equipment slot
IOE_CONFIG_SHIP_SLOT_MINUS_TOOLTIP|Keybind used for the 10th equipment slot
IOE_CONFIG_SHIP_SLOT_EQUAL_TOOLTIP|Keybind used for the 11th equipment slot






SHIP_YME|Y-ME Fission Retrofit

SHIP_YME_SPECS|Производитель: Злые бывшые работники-Eon Interstellar \nВысокопрочные подвесы: 1\nМалопрочные подвесы: 2\nЭкипаж: 5\nСухая масса: 34,500 kg \nОбъём грузового отсека: 140 m^3 \nХранилище переработанной руды (на каждый тип): 11,000 kg

SHIP_YME_DESC|Этот корабль был создан несколькими недовольными сотрудниками Eon Interstellar, которые отделились из-за неэффективного управления компанией как своими сотрудниками, так и отделом по связям с общественностью. Они объединились, чтобы создать более экономически выгодное судно, сделав сияющий корпус EIME более доступным для тех, кто не занимает высокооплачиваемые должности. \n\nИз-за особенностей оригинального корпуса EIME пришлось установить специальный реактор с жидкостным барабаном, чего хотели многие конечные пользователи оригинального судна. Для модернизации был использован старый реактор, оставшийся от K37, списанных для строительства жилых зон Энцелада Прайм, поскольку он был в общем распоряжении.

SYSTEM_REACTOR_EIME_REFIT|Реактор для замены жидкостного барабана



SHIP_OCP-SALVAGE|OCP-209 Спасенный корпус

SHIP_OCP-SALVAGE_SPECS|Производитель: Obonto Microengineering\nМанипуляторы встроенные в отсек: 1\nВысокопрочные подвесы: 2\nМалопрочные подвесы: 2\nЭкипаж: 8\nСухая масса: 184,500 kg\nОбъём грузового отсека: да\nХранилище переработанной руды (общее): 50,000 kg

SHIP_OCP-SALVAGE_DESC|Этот корабль был найден в переулке за Sin Space Engineering. Мы спросили, можем ли мы его забрать, но (неоплачиваемый) стажёр, работающий в атриуме, сказал, что ему всё равно, и мы забрали. Весь грузовой отсек был вырезан и заменён манипулятором, как мы полагаем, отчасти для того, чтобы создать конкурента MAD-CERF, а отчасти потому, что Sin Space Engineering не знала, что делать с остальной частью OCP после создания линейки кораблей OK720.



SHIP_CK65|CK-65

SHIP_CK65_SPECS|Производитель: Conlindo / Rusatom-Antonoff\nМалопрочные подвесы: 2\nПодвесы для дронов: 2\nЭкипаж: 12\Сухая масса: 82,000 kg \nОбъём грузового отсека: 40 m^3\nХранилище переработанной руды (на каждый тип): 37,500 kg

SHIP_CK65_DESC|Расцвет переработки полезных ископаемых обусловил потребность в кораблях, способных перевозить значительные объёмы этого сырья для межпланетных перелётов. Столетний опыт создания кораблей класса «Cothon» продемонстрировал жизнеспособность автоматизированных кораблей для путешествий, и «Eagles» были выбраны в качестве судна для завершения нового проекта. Значительная часть грузового отсека была урезана, чтобы разместить шесть гигантских отсеков для хранения обработанных грузов, а также роскошный жилой отсек для 12 пассажиров. Значительная часть оборудования «Орла» была оставлена ​​для удобства капитанов, однако дробилка была заменена стандартным экскаватором для повышения надёжности.



SHIP_CK69|CK-69

SHIP_CK69_SPECS|Производитель: Conlindo / Rusatom-Antonoff\nМалопрочные подвесы: 2\nПодвесы для дронов: 2\nЭкипаж: 12\nСухая масса: 102,000 kg \nОбъём грузового отсека: 40 m^3 \nХранилище переработанной руды (общее): 200,000 kg

SHIP_CK69_DESC|Успех CK-65 привёл к созданию более совершенной модели CK-69, способной обрабатывать любые объёмы руды, но ценой несколько меньшего общего объёма трюма. Он использовался во время спадов производительности на Энцеладе, когда стандартный CK-65 терял место из-за отсутствия определённого минерала. Тем не менее, он был очень популярен среди шахтёров, которые могли надёжнее добывать большие объёмы руды.



SHIP_PROSPECTOR_RAM|Prospector RAM

SHIP_PROSPECTOR_RAM_DESC|Модификационные решения Ringa Aftermarket приносят в жертву грузовое пространство ради расширения возможностей за счёт использования трофеев и поддельных деталей с различных моделей кораблей. RAM был модифицирован высокопрочными-подвесами от Vulture, электроникой и датчиками от KR-37, хранилищем переработанной руды от Cothon Bender и т. д. Кроме этого также установленно множество оригинальных модификаций. Короткий широкий грузовой отсек, увеличенная грузовая дверь и увеличенная дробилка, усиленная и модернизированная опора руки манипулятора, двигатели и система турелей-резаков, усиленный реактор и т. д. Это достигается за счёт очень большой массы корабля для корабля его размера, уменьшенной вдвое вместимости обрабатываемых ресурсов, уменьшенной вместимости экипажа и чрезвычайно высокой цены. Prospector RAM может справиться с любой ситуацией в кольце, но его большая масса и малая вместимость делают его посредственным горнодобывающим кораблём.

SHIP_PROSPECTOR_RAM_SPECS|Производитель: Unknown\nВысокопрочные подвесы: 1\nМалопрочные подвесы: 2\nПодвесы для дронов: 2\nЭкипаж: 4\nСухая масса: 54,380 kg\nХранилище переработанной руды (общее): 40,000 kg\n Защита от ЭМИ: 200 MW



SHIP_OCP213_TWIN|OCP-213 Twin

SHIP_OCP213_TWIN_SPECS|Производитель: Obonto Microengineering\nВысокопрочные подвесы: 2\nМалопрочные подвесы: 2\nЭкипаж: 8\nСухая масса: 187,500 kg\nОбъём грузового отсека: 610 m^3\nХранилище переработанной руды (общее): 50,000 kg

SHIP_OCP213_TWIN_DESC|Незначительная модификация стандартной модели OCP-209. Twin добавляет второе крепление для горелки и разделяет их в V-образной форме, что позволяет выполнять более разнообразные маневры, особенно при комбинировании перемещения и вращения.



SHIP_TRTL_PEEPER|OCK Peeper TNTRL

SHIP_TRTL_PEEPER_DESC|Модификация OK720 компании Sin Space Engineering, изготовленная по индивидуальному заказу. Жилой отсек для экипажа перенесён за грузовой отсек для повышения безопасности и снижения вероятности травмирования при горных работах. Необычная форма носовой части корабля значительно смещает узлы подвески относительно центра, однако дополнительные структурные элементы отсека позволяют разместить высокопрочный узел подвески вдоль хребта. \n\nВ связи с особенностями изменённого расположения жилого отсека для экипажа между ними установлен большой свинцовый экран радиационной защиты, а также экипажи получают бесплатный препарат Ketron Isoboost в дозе 150 мг в день во время и в течение месяца после полёта на этом судне.

SHIP_TRTL_PEEPER_SPECS|Производитель: Conlindo / Obonto Microengineering \nВысокопрочные подвесы: 1 \nМалопрочные подвесы: 4 \nЭкипаж: 4 \nСухая масса: 101,400 kg \nОбъём грузового отсека: 600 m^3 \nХранилище переработанной руды (общее): 25,000 kg





 
SYSTEM_AUX_MPD_1400|OPG-14 StatPlasma

SYSTEM_AUX_MPD_1400_DESC|Для экстремальных условий эксплуатации, таких как промышленные печи перерабатывающих заводов, требуется решение с экстремальной мощностью, и StatPlasma от Obonto Microengineering — именно то, что нужно. Энтузиасты и инженеры-электрики (хотя различий мало) называют его «шишкой» из-за необычной винтовой камеры преобразования, которая сужается к выходному отверстию для сбора пара. \n\nПримечание: этому устройству может потребоваться небольшой прогрев для достижения полной выходной мощности.

SYSTEM_AUX_MPD_1400_SPECS|Энергопотребление: 200 МВт \nПотребление тепла: 2,5 ГВт \nМощность (номинальная): 1400 МВт \nВремя прогрева: 5 с \nМасса: 12 250 кг \nТип: МПДГ \nПроизводитель: Obonto Microengineering



SYSTEM_AUX_MPD_2000|MPDG класса MPI City

SYSTEM_AUX_MPD_2000_DESC|Этот чудовищный МПДГ буквально не помещается в корпус большинства кораблей, его приходится монтировать снаружи и подключать к нескольким линиям питания. Мощная электростанция для крупных поселений на Марсе и за его пределами. \n\nПримечание: этому устройству требуется длительный прогрев, прежде чем оно достигнет полной мощности. MPI настоятельно рекомендует не удалять никакие маркировки, гравировки или другие отметки с устройства.

SYSTEM_AUX_MPD_2000_SPECS|Энергопотребление: 300 МВт \nПотребление тепла: 4 ГВт \nМощность (номинальная): 2000 МВт \nВремя прогрева: 15 с \nМасса: 16 660 кг \nТип: МПДГ с турбиной-утилизатором \nПроизводитель: Mars Power Industries




 
SYSTEM_AUX_SMES_10K|Конденсаторная батарея OPS-10

SYSTEM_AUX_SMES_10K_DESC|Решение Obonto Microengineering для резервного питания, несмотря на свою неэлегантность, невероятно эффективно. По сути, OPS-10 представляет собой несколько сверхбольших ультраконденсаторов в стальном корпусе, он может обеспечивать феноменальную выходную мощность при пиковой нагрузке, оставаясь при этом примерно таким же доступным, как и стандартные ультраконденсаторы. \n\nПоскольку OPS-10 не подключен к внутренним системам охлаждения, для поддержания температуры в нём используются медленная зарядка и громоздкий радиатор.

SYSTEM_AUX_SMES_10K_SPECS|Емкость: 10 000 МДж \nЭнергопотребление: 50 МВт \nВыходная мощность (пиковая): 10 000 МВт \nМасса: 6 500 кг \nТип: Массив фрактальных ультраконденсаторов на основе графена высокой плотности \nПроизводитель: Obonto Microengineering





 
SYSTEM_CAPACITOR_100|Лёгкий ультраконденсатор

SYSTEM_CAPACITOR_100_DESC|Фрактальный графеновый цилиндрический ультраконденсатор для хранения избыточной выработанной энергии, обеспечивающий её доступность в периоды пиковой нагрузки. Компактное устройство по разумной цене.

SYSTEM_CAPACITOR_100_SPECS|Емкость: 100 МДж \nПиковая мощность: 10 ГВт \nМасса: 400 кг \nПроизводитель: Obonto Micro Engineering



SYSTEM_CAPACITOR_700|ND-iSMB

SYSTEM_CAPACITOR_700_DESC|Внутренняя сверхпроводящая магнитная батарея Nakamura Dynamics — это альтернативное решение для временного хранения энергии, предложенное после успеха вспомогательной энергетической установки NDAPS. Несмотря на мощную защиту от воздействия плазмы перемассировки, его прямое подключение к электрическим шинам судна обеспечивает максимальную скорость разряда и перезаряда с минимальными потерями.

SYSTEM_CAPACITOR_700_SPECS|Емкость: 700 МДж \nПиковая мощность: 10 ГВт \nМасса: 1800 кг \nПроизводитель: Nakamura Dynamics



SYSTEM_CAPACITOR_1400|Двойная связь ND-iSMB

SYSTEM_CAPACITOR_1400_DESC|Два меньших блока iSMB, соединённых мощным балансиром мощности. Благодаря преднамеренному взаимодействию двух магнитных полей, больше энергии может эффективно храниться в меньшем оборудовании.

SYSTEM_CAPACITOR_1400_SPECS|Емкость: 1400 МДж \nПиковая мощность: 10 ГВт \nМасса: 3200 кг \nПроизводитель: Nakamura Dynamics





 
SYSTEM_RODS_1|1 топливный стержень SO6

SYSTEM_RODS_1_DESC|Этот топливный стержень SO6 производства Rusatom-Antonoff, обычно называемый «солнечным осколком», является стандартным топливом для ранних проектов межпланетных ядерных реакторов (ЯТР). В SO6 используется жидкое ядро ​​на основе тория, заключенное в твердую оболочку. Напряжение и состав обеспечивают чрезвычайно высокие рабочие температуры. \n\nИдеальный подарок для будущего капитана корабля. Свинцовая упаковка различных дизайнов и цветов доступна по запросу.

SYSTEM_RODS_1_SPECS|Производитель: Rusatom-Antonoff \nРабочая температура: 3,500 K \nТочка отказа: 4,500 K \nМасса: 400 kg \nТеплоотдача: 1 GW




 
SYSTEM_TURBINE_20|Термопарная установка

SYSTEM_TURBINE_20_DESC|Эта простая термопарная установка использует тепловой градиент между реактором судна и топливом для выработки электроэнергии. При этом за борт выбрасывается незначительное количество реакционной массы.

SYSTEM_TURBINE_20_SPECS|Мощность (номинальная): 20 МВт \nРасход рабочего тела: 20 г/с \nМасса: 100 кг \nПроизводитель: «Rusatom-Antonoff»



SYSTEM_TURBINE_160|Ламинарная турбина

SYSTEM_TURBINE_160_DESC|Эта энергоустановка для ядерного реактора использует мощь немецкой инженерии (и оптимизированную с помощью искусственного интеллекта конструкцию) для минимизации турбулентности потока и тепловых потерь в четырёхступенчатой ​​рекуперативной турбине.

SYSTEM_TURBINE_160_SPECS|Мощность (номинальная): 160 МВт \nРасход рабочего тела: 160 г/с \nМасса: 600 кг \nПроизводитель: Boltzmann Waermerkraftmaschinen



SYSTEM_TURBINE_320|Двойная ламинарная турбина

SYSTEM_TURBINE_320_DESC|Эта энергоустановка для атомных реакторов использует мощь немецкой инженерии (и оптимизированную с помощью искусственного интеллекта конструкцию) для минимизации турбулентности потока и тепловых потерь в двух четырёхступенчатых регенеративных турбинных узлах. Перераспределение массы и давления между ними осуществляется равномерно благодаря новому твердотельному корпусу клапана.

SYSTEM_TURBINE_320_SPECS|Мощность (номинальная): 320 МВт \nРасход рабочего тела: 320 г/с \nМасса: 1200 кг \nПроизводитель: Boltzmann Waermerkraftmaschinen





 
SHIP_TSUKUYOMI_IOT|Фрегат класса «Tsukuyomi» (списанный)

SHIP_TSUKUYOMI_IOT_DESC|Лёгкие фрегаты класса «Tsukuyomi» были спроектированы в 2190 году для военных операций по всей Солнечной системе. Они стали первыми в своём классе и заложили основу для современных тактических фрегатов, а их пятиконтурные реакторы служили мощным источником энергии для двигателей. После снятия с вооружения ядерных ракет с солёной водой многие из них были утилизированы или проданы частным военным подрядчикам и корпорациям. \n\nБлагодаря верфям Sin Space Engineering этот корабль был полностью демилитаризован и отремонтирован для операций в пределах колец. Его реакторы на солёной воде были заменены тремя модульными защитными оболочками для модернизации установленной современной системы ядерных ракетных двегателей (ЯРД), а носовые торпедные аппараты были разнесены для расширения трюма и добавления четырёх отсеков для вспомогательного оборудования.\n\nСтоит отметить, что «Tsukuyomi» по своей конструкции является боевым кораблём, а не грузовым судном. В том же смысле, в каком у фургона больше грузового пространства, чем у танка, поэтому объём его грузового отсека меньше, чем можно было бы ожидать от корабля такого объёма.

SHIP_TSUKUYOMI_IOT_SPECS|Производство: Sin Space Engineering / Nakamura Dynamics \nВысокопрочные подвесы: 1 \nТорпедные аппараты: 4 \nСтыковочные отсеки: 4 \nБашенные установки: 2 \nЭкипаж: 16 \nСухая масса: 1655 350 кг \nОбъем грузового отсека: 1150 м^3 \nХранилище переработанной руды (на каждый тип): 81 000 кг

SYSTEM_REACTOR_TSUYUKOMI_IOT-A|Ядро реактора Tsukuyomi A
SYSTEM_REACTOR_TSUYUKOMI_IOT-B|Ядро реактора Tsukuyomi B
SYSTEM_REACTOR_TSUYUKOMI_IOT-C|Ядро реактора Tsukuyomi C



SHIP_OCP209_DD|OCP-214-DD "Deep Dish"

SHIP_OCP209_DD_DESC|214-DD — это версия OCP-209, специально адаптированная для горнодобывающих работ в пределах колец. Конструкция, поддерживающая отсеки для расходных материалов, опусташенна и обшита листами для увеличения объёма для хранения сырья, а дополнительная инфраструктура электропитания позволяет устанавливать стандартное оборудование грузового отсека. \n\nНесмотря на очевидные преимущества, карман затрудняет погрузку-разгрузку руды, а уменьшенное пространство для хранения минералов на борту вынуждает капитанов больше полагаться на вспомогательное оборудование, чем на большинстве других судов.\n\nИз-за модификаций судна автопилот не может получать обратную связь напрямую от экскаватора, а функция помощи в повороте автопилота на этом судне недоступна.

SHIP_OCP209_DD_SPECS|Производитель: Obonto Microengineering \nВысокопрочные подвесы: 2 \nМалопрочные подвесы: 2 \nСтыковочные отсеки: 4 \nЭкипаж: 8 \nСухая масса: 190 500 кг\nОбем грузового отсека: 700 м^3\nХранилище переработанной руды (на каждый тип): 36 000 кг



SHIP_OCP209_SNAP|OCP-207-SNAP «Пиранья»

SHIP_OCP209_SNAP_DESC|207-SNAP — это версия OCP-209, в которой реализована конструкция ковша, рассмотренная на этапе разработки прототипа. Его тяжёлые двустворчатые двери лучше подходят для сокрушения рингроидов, чем его аналог, и, к сожалению, хуже для работы с хрупким оборудованием, для которого корабль предназначен. \n\nВвиду уникальной конфигурации, функция помощи при вращении автопилота на этом устройстве недоступна.

SHIP_OCP209_SNAP_SPECS|Производитель: Obonto Microengineering \nВысокопрочные подвесы: 2 \nМалопрочные подвесы: 2 \nСтыковочные отсеки: 4 \nЭкипаж: 8 \nСухая масса: 184 500 кг\nОбем грузового отсека: 610 м^3 \nХранилище переработанной руды (общее): 50 000 кг



SHIP_COTHON_LUX|SSE Cothon-2200-XL

SHIP_COTHON_LUX_DESC|Этот неофициальный «модернизированный» вариант Cothon-213 Triplet отличается дополнительным «отсеком для экипажа» (спасательной капсулой), дополнительной парой поступательных двигателей и рядом «премиальных» особенностей, таких как совмещенный салон и кают-компания, обитые дышащей тканью сиденья и функционирующий санузел. Два отсека соединяются друг с другом стыковочными узлами у основания и крепятся к раме стандартными быстроразъемными соединениями для аварийного отсоединения. XL означает «Extra Love» (дополнительная любовь). \n\nSin Space Engineering не предоставляет никаких гарантий, явных или подразумеваемых.

SHIP_COTHON_LUX_SPECS|Производитель: Sin Space Engineering / Conlido RVM \nМалопрочные подвесы: 4 \nЭкипаж: 6 \nСухая масса: 77 250 кг \nОбем грузового отсека: 260 м3 \nХранилище переработанной руды (на каждый тип): 25 000 кг



SHIP_MADCERF_CIV|MAD-CERF (Гражданский вариант)

SHIP_MADCERF_CIV_DESC|Этот гражданский вариант, выполненный в сотрудничестве с Obonto Microengineering, вносит ряд изменений, отвечающих разнообразным требованиям к условиям среды колец. Компактный верхний отсек был перенесен в носовую часть и заменен расширенной центрифугой стандарта OCP, что увеличило эффективную вместимость экипажа до восьми человек. Кроме того, стыковочный отсек был закрыт сетчатой ​​корзиной, а зажимы были удалены для обеспечения горнодобывающих работ, в кормовой переборке установлена ​​огромная раздвижная дверь для приема крупногабаритных грузов. Значительная часть носовой части основания также была заменена трюмными отсеками, что обеспечило судну больше места для хранения переработаных минералов, чем любому другому судну на гражданском рынке.

SHIP_MADCERF_CIV_SPECS|Производитель: Machines Astro-Dynamiques / Obonto Microengineering \nВысокопрочные подвесы: 1 \nМалопрочные подвесы: 2 \nУзлы подвески турелей: 2 \nПодвесы для дронов: 2 \nСтыковочные отсеки: 2 \nЭкипаж: 6 \nСухая масса: 195 000 кг \nОбем грузового отсека: 1200 м^3 \nХранилище переработанной руды (на каждый тип): 45 000 кг

SHIP_MADCERF_DESC|Machines Astro-Dynamiques Cernunnos Modèle II, также известный как MAD-CERF, — основной корабль спасательных компаний в кольцах Сатурна. Его тяжелобронированный нос, рассчитанный на полёты через пояс астероидов, — неэлегантное, но эффективное решение, позволяющее избежать множества опасностей, связанных с межпланетными путешествиями. Два реактора по обоим бортам корабля питают каждый свою пару резаков и маневровых двигателей.


SHIP_OBERON|UMC Oberon MLP-60

SHIP_OBERON_DESC|Оберон MLP-60 — любопытное судно, созданное United Machine Cults. Изначально автономный корабль, запускаемый электромагнитными рельсовыми пушками для орбитальных гонок, он был вытеснен более поздними аппаратами с термоядерным двигателем, но энтузиасты быстро скупили оставшиеся экземпляры, и в конце концов корабль добрался до колец. Шесть поясных радиаторов, по три с каждого борта, охлаждают его высокопроизводительный реактор и частично защищают открытые топливные баки, хотя они вряд ли нужны из-за смехотворного количества поступательных двигателей. \n\nДля обеспечения соответствия судна условиям эксплуатации в пределах колец были проведены многочисленные модификации: магнитные контакты были искусно переоборудованы в два высокопрочных узла подвески, интерфейсная инфраструктура была встроена в небольшой грузовой отсек в носовой части для размещения установок по переработке минерального сырья (едва ли, поскольку на борту для их размещения отведено мало места), а роскошный спасательный модуль HAL-9001 служит комфортабельной кабиной и отсеком для экипажа.

SHIP_OBERON_SPECS|Производитель: United Machine Cults / Изготовлено по индивидуальному заказу \nВысокопрочные подвесы: 2 \nПодвесы для дронов: 1 \nЭкипаж: 4 \nСухая масса: 26 400 кг \nОбем грузового отсека: 50 м3 \nХранилище переработанной руды (общее): 12 000 кг

SYSTEM_REACTOR_OBERON|Мощный реактор Оберона



SHIP_TRTL_RAM|KX37 TNTRL "RAM"

SHIP_TRTL_RAM_DESC|Вариант модификации KX37 от "Ringa Aftermarket Modification", обычно называемый просто "Ram", — это модификация, которая приобрела популярность в 2269 году после её распространения пользователем RingChan под ником BLKCandy. В этой модификации ёмкость для хранения минералов несколько снижена ради установки силовых и питающих шин для двух точек подвески дронов в хвостовой части корпуса, стационарные крепления двигателей заменены на карданные, а блистеры RCS переработаны для повышения мобильности. \n\nЕго наиболее заметной особенностью является дробилка типа Prospector, приобретённая непосредственно на рынке вторсырья. Её установка лишь незначительно снижает комфорт экипажа, поскольку она значительно шумит во время работы и немного уменьшает площадь зоны отдыха.

SHIP_TRTL_RAM_SPECS|Производитель: «Rusatom-Antonoff» / Изготовлено по индивидуальному заказу \nВысокопрочные подвесы: 1 \nМалопрочные подвесы: 2 \nПодвесы для дронов: 2 \nЭкипаж: 4 \nСухая масса: 42 920 кг \nОбем грузового отсека: 110 м^3 \nХранилище переработанной руды (общее): 40 000 кг \nЗащита от ЭМИ: 100 МВт

SYSTEM_REACTOR_TNTRL_FORT|Ядерный реактор K37 с распорками



SHIP_ATLAS_WASP|Разведчик класса «Оса» (списаный)

SHIP_ATLAS_WASP_DESC|Автоматизированные тактические разведчики класса «Оса» производства Nakamura Dynamics, выпущенные в середине 2200-х годов, используют [УДАЛЕНО] в качестве источника энергии и [УДАЛЕНО], вырабатывая постоянную [УДАЛЕНО] мегаватт электроэнергии, пока [УДАЛЕНО] корабля [УДАЛЕНО]. Сетка Фарадея изолирует большую часть корабля, защищая его от статических разрядов в плотных космических условиях и обеспечивая удобный вектор рассеивания заряда для [УДАЛЕНО]. \n\nРазве это не весело? Эта версия, эксклюзивно предоставленная вам верфями Sin Space Engineering, полностью рассекречена, выведена из эксплуатации и, вероятно, нелегальна, с рядом приятных преимуществ, таких как высокопроизводительное реактивное колесо, «корпус реактора», из которого вырвали что-то отредактированное (именно так оно и было, когда мы его получили), и, вероятно, функциональный грузовой отсек, увенчанный переоборудованной спасательной капсулой Conlido Classic™ для удовольствия. \n\nГарантия? Чёрт возьми, нет. Летай на этом чёртовом корабле, ринга. А если кто-нибудь спросит, где вы эту штуку взяли, позвоните нам и отправьте свои логи, чтобы получить скидку 25% на следующую покупку.

SHIP_ATLAS_WASP_SPECS|Производитель: Sin Space Engineering / Nakamura Dynamics \nМалопрочные подвесы: 2 \nУгол наклона двигателя: 36 градусов \nЭкипаж: 3 \nСухая масса: 8250 кг \nОбем грузового отсека: 40 м3 \nХранилище переработанной руды (на каждый тип): 500 кг \nЗащита от ЭМИ: 320 МВт

SYSTEM_REACTOR_JURYRIG|Самодельный реактор

SYSTEM_REACTIONWHEEL_PERF|Гидродинамический маховик



SHIP_PROSPECTOR_PIGEON|Pigeon Prospector

SHIP_PROSPECTOR_PIGEON_DESC|Что происходит, когда Pelican и Vulture очень любят друг друга? Они создают эту штуку – или, по крайней мере, так говорят. Высокая цена «Голубя» полностью обусловлена ​​невероятным мастерством, вложенным в её реализацию: дополнительные распорки каркаса поддерживают высокопрочную точку подвески в носовой части судна, и вся система питания и питания оборудования была переработана для её установки. Отсек также был укорочен, чтобы выдерживать нагрузки, что позволило установить стандартный гриндер.

SHIP_PROSPECTOR_PIGEON_SPECS|Производитель: Mitsudaya-Starbus / Conlido RVM \nВысокопрочные подвесы: 1 \nМалопрочные подвесы: 2 \nПодвесы для дронов: 2 \nЭкипаж: 6 \nСухая масса: 42 300 кг \nОбем грузового отсека: 70 м^3 \nХранилище переработанной руды (на каждый тип): 14 000 кг



SHIP_AT225_STUB|Antonoff-Titan K225-SH

SHIP_AT225_STUB_DESC|Вариант для ближних перелётов, ласково прозванный поклонниками серии «Stubby», начал производиться всего через три года после невероятно успешного запуска базового варианта и предназначен для скоростных перевозок по всей Солнечной системе. SH компенсирует потерю средней части лёгкой, манёвренной рамой и двумя креплениями для нанодронов, что делает его отличной альтернативой базовой модели в горнодобывающей промышленности.

SHIP_AT225_STUB_SPECS|Производитель: Antonoff-Titan Heavy Industries \nМалопрочные подвесы: 2 \nПодвесы для дронов: 2 \nСтыковочные отсеки: 4 \nЭкипаж: 12 \nСухая масса: 160 000 кг \nОбем грузового отсека: 280 м3 \nХранилище переработанной руды (на каждый тип): 5000 кг



SHIP_TRTL_OCP|SSE OK720 TNTRL

SHIP_TRTL_OCP_DESC|«О боже, что это?» — воскликнули они. «Это не прокатит», — сказали они. «Перестаньте нам звонить, иначе мы подадим иск», — хором сказали Антонофф и Обонто. Именно в этом хоре нытья и криков мы создали чудо под названием OK720 TNTRL. \n\nДве запасные половинки отсека из остатков Obonto и рассечённый корпус K37 объединились, чтобы создать этот шедевр, изначально «шутку», опубликованную на форуме RingChan /dreamship/ пользователем snownukitro. Благодаря поистине огромному грузовому отсеку и крепёжным элементам для УПМ и аксессуаров стандарта OCP, четырём узлам подвески оборудования с низким уровнем нагрузки и невероятно малой массе для такого объёма грузового отсека, этот монстр идеально подходит для кольцевой добычи полезных ископаемых — при условии, что он ни во что не будет врезаться. \n\nДействует ограниченная гарантия. Мы не заменим его, если вы застрянете в ограниченном пространстве, но продадим вам сменные панели.

SHIP_TRTL_OCP_SPECS|Производитель: Rusatom-Antonoff / Obonto Microengineering / Sin Space Engineering \nМалопрочные подвесы: 4 \nЭкипаж: 4 \nСухая масса: 86 600 кг \nОбем грузового отсека: 720 м³ \nХранилище переработанной руды (на каждый тип): 5000 кг


